證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,漲跌幅
1806,冠軍,687752,334,8392926,12.2,12.35,12.0,12.15,-0.05,12.10,100,12.15,8,63.95,-0.0
1808,潤隆,2610452,2110,315226022,123.0,123.0,118.5,120.5,-2.5,120.50,38,121.00,5,7.19,-0.02
1809,中釉,1187048,543,25161099,21.25,21.4,20.9,21.25,-0.1,21.25,11,21.30,9,193.18,-0.0
1810,和成,304560,217,5456204,18.15,18.15,17.65,18.0,0.05,17.95,10,18.00,2,163.64,0.0
1817,凱撒衛,161697,359,6656801,41.5,41.5,41.0,41.2,-0.25,41.00,2,41.20,2,9.76,-0.01
1903,士紙,81512,101,4551044,56.2,56.2,55.2,56.2,0.7,55.70,2,56.20,1,127.73,0.01
1904,正隆,1069613,747,27460524,25.7,25.85,25.5,25.85,0.15,25.70,61,25.85,16,27.8,0.01
1905,華紙,1589504,1101,30285215,19.0,19.3,18.8,19.1,0.1,19.10,11,19.15,20,0.0,0.01
1906,寶隆,58666,300,888228,15.2,15.2,15.05,15.15,-0.05,15.10,2,15.20,2,108.21,-0.0
1907,永豐餘,1279682,988,37966923,29.65,29.8,29.5,29.75,0.1,29.70,1,29.75,242,25.65,0.0
1909,榮成,4640355,1387,63276540,13.3,13.85,13.25,13.6,0.35,13.60,54,13.65,59,226.67,0.03
2002,中鋼,14053712,6268,309125988,22.0,22.1,21.9,21.95,0.0,21.95,"1,043",22.00,20,99.77,0.0
2002A,中鋼特,7922,14,338548,42.75,42.8,42.7,42.7,-0.1,42.70,9,42.80,3,0.0,-0.0
2006,東和鋼鐵,846648,1203,65463399,77.3,77.8,76.7,77.5,0.2,77.40,7,77.50,26,11.89,0.0
2007,燁興,323894,224,3414256,10.55,10.65,10.4,10.6,0.2,10.50,3,10.60,40,0.0,0.02
2008,高興昌,216660,219,6814103,31.0,31.9,30.75,31.85,1.05,31.80,4,31.90,29,79.62,0.03
2009,第一銅,1435199,1113,62707062,43.8,44.2,43.4,43.55,-0.75,43.55,7,43.60,19,155.54,-0.02
2010,春源,352256,250,6390599,18.2,18.25,18.05,18.2,0.0,18.15,5,18.20,19,12.82,0.0
2012,春雨,316230,271,8561009,27.1,27.3,26.9,27.1,0.15,26.95,5,27.10,10,20.07,0.01
2013,中鋼構,45377,177,2433087,53.7,53.7,53.3,53.7,0.4,53.50,1,53.80,1,18.71,0.01
2014,中鴻,2426324,1264,45347136,18.7,18.8,18.5,18.8,0.1,18.75,31,18.80,68,0.0,0.01
2015,豐興,518254,500,41650582,81.7,81.7,79.3,81.0,0.0,80.30,3,81.00,12,18.49,0.0
2017,官田鋼,330261,710,4191471,12.7,12.8,12.6,12.7,0.0,12.65,2,12.70,34,40.97,0.0
2020,美亞,453817,363,12676972,28.05,28.1,27.8,27.85,-0.2,27.80,77,27.85,7,4.71,-0.01
2022,聚亨,414634,244,4112903,9.94,10.0,9.83,9.91,0.01,9.91,2,9.93,3,76.23,0.0
2023,燁輝,1496614,658,22482698,14.9,15.05,14.85,15.05,0.2,15.00,94,15.05,22,0.0,0.01
2024,志聯,35036,39,800061,22.75,22.9,22.75,22.9,0.45,22.80,8,22.90,7,0.0,0.02
2025,千興,3419734,889,42151635,12.1,12.65,11.95,12.4,0.45,12.35,14,12.40,20,0.0,0.04
2027,大成鋼,3646767,2932,128332199,35.2,35.45,34.9,35.15,0.1,35.10,48,35.15,8,20.32,0.0
2028,威致,85039,65,2045080,24.2,24.2,23.95,24.1,0.1,23.95,16,24.10,15,23.4,0.0
2029,盛餘,92316,87,2329213,25.15,25.3,25.15,25.3,0.15,25.15,22,25.30,13,11.4,0.01
2030,彰源,255134,211,4469454,17.5,17.6,17.4,17.55,0.05,17.50,42,17.55,4,56.61,0.0
2031,新光鋼,681609,429,40350833,59.1,59.6,58.8,59.3,0.2,59.20,2,59.30,3,6.41,0.0
2032,新鋼,87951,99,1317877,15.0,15.1,14.85,15.05,0.05,14.95,4,15.05,2,48.55,0.0
2033,佳大,186051,111,3172411,16.7,17.25,16.7,16.9,0.0,16.85,6,17.00,1,120.71,0.0
2034,允強,611944,365,13937119,22.9,23.0,22.7,22.8,-0.1,22.80,1,22.85,4,0.0,-0.0
2038,海光,585864,241,10233997,17.4,17.6,17.3,17.5,0.15,17.45,1,17.55,6,125.0,0.01
2049,上銀,2087621,3754,440744493,207.5,214.0,206.5,210.0,1.5,210.00,4,210.50,21,38.25,0.01
2059,川湖,881048,1488,1077970210,1230.0,1255.0,1205.0,1210.0,-20.0,"1,210.00",15,"1,220.00",8,26.36,-0.02
2062,橋椿,12178665,7320,471786760,38.1,39.45,37.7,39.05,0.75,39.05,44,39.10,9,12.72,0.02
2069,運錩,1789866,1281,32808010,17.45,18.7,17.45,18.2,0.8,18.20,2,18.25,13,113.75,0.05
2101,南港,3606737,1958,188650854,52.0,53.0,51.2,52.9,0.4,52.80,15,52.90,20,69.61,0.01
2102,泰豐,369414,265,8150519,21.8,22.2,21.8,22.2,0.4,22.15,4,22.20,17,0.0,0.02
2103,台橡,745578,394,17010272,22.75,22.95,22.65,22.9,0.15,22.85,6,22.90,27,19.57,0.01
2104,國際中橡,791519,426,12885038,16.35,16.45,16.2,16.3,0.05,16.30,5,16.35,37,0.0,0.0
2105,正新,3078114,2359,149050663,48.55,48.65,48.2,48.25,-0.25,48.25,53,48.30,5,19.3,-0.01
2106,建大,959586,626,29763301,31.0,31.3,30.95,31.2,0.2,31.15,1,31.20,3,17.14,0.01
2107,厚生,268837,424,7235206,26.95,27.05,26.7,27.0,0.2,26.90,1,27.00,14,14.67,0.01
2108,南帝,793324,504,31397476,39.7,39.75,39.35,39.5,-0.1,39.50,10,39.55,1,34.65,-0.0
2109,華豐,449412,473,8571543,19.05,19.25,18.95,19.05,-0.1,19.05,4,19.10,10,10.7,-0.01
2114,鑫永銓,14255,40,1408575,98.8,99.2,98.4,99.2,0.5,98.40,2,99.30,2,17.46,0.01
2115,六暉-KY,324584,258,10189717,31.4,31.8,31.05,31.3,0.7,31.15,2,31.30,3,19.94,0.02
2201,裕隆,3635440,2298,199798559,55.2,55.4,54.5,55.0,0.1,54.90,29,55.00,10,13.06,0.0
2204,中華,2297999,1727,188047422,82.5,82.5,81.3,81.8,0.0,81.80,2,81.90,33,8.91,0.0
2206,三陽工業,1050314,857,76934055,73.4,73.7,72.9,73.4,0.0,73.30,34,73.40,18,10.89,0.0
2207,和泰車,238856,309,152476007,637.0,643.0,631.0,641.0,4.0,640.00,1,642.00,2,15.87,0.01
2208,台船,1565460,887,27425694,17.65,17.7,17.35,17.55,-0.05,17.55,92,17.60,257,0.0,-0.0
2211,長榮鋼,976464,814,117478071,119.0,121.5,117.5,121.5,2.5,121.00,1,121.50,26,19.5,0.02
2227,裕日車,52344,138,6351973,121.0,122.0,120.0,122.0,1.0,120.50,2,122.00,2,22.47,0.01
2228,劍麟,230865,241,22028427,95.8,96.3,94.7,95.3,-0.5,95.30,10,95.60,2,10.57,-0.01
2231,為升,166047,231,17042026,102.5,103.5,102.0,102.0,-1.5,102.00,24,102.50,3,53.12,-0.01
2233,宇隆,1077392,1060,159114590,149.0,151.0,145.0,147.0,-3.5,146.50,4,147.00,8,14.01,-0.02
2236,百達-KY,685415,549,73699409,104.0,109.5,104.0,107.0,3.0,107.00,11,107.50,1,44.77,0.03
2239,英利-KY,122713,135,5918684,49.2,49.2,47.4,47.9,-0.1,47.90,4,47.95,1,21.67,-0.0
2241,艾姆勒,685712,435,20515252,30.2,30.5,29.6,29.75,-0.45,29.75,9,29.80,3,0.0,-0.01
2243,宏旭-KY,3484875,2336,90166353,26.0,26.8,25.25,25.7,-0.5,25.70,26,25.80,11,0.0,-0.02
2247,汎德永業,37735,115,11149569,296.5,296.5,294.5,296.0,2.0,295.00,2,296.00,1,13.21,0.01
2250,IKKA-KY,212805,297,21468326,102.0,102.0,99.5,100.0,-0.5,100.00,6,100.50,1,15.46,-0.0
2254,巨鎧精密-創,152000,40,12847000,84.8,85.0,83.0,84.9,0.9,83.30,2,85.00,7,0.0,0.01
2258,鴻華先進-創,448230,295,18551779,42.2,42.2,41.0,41.7,0.5,41.60,21,41.70,18,0.0,0.01
2301,光寶科,5315376,3985,569307176,107.0,108.0,106.0,107.0,0.0,107.00,58,107.50,258,18.2,0.0
2302,麗正,152245,90,2559748,17.15,17.15,16.6,16.8,-0.1,16.75,14,16.90,5,32.94,-0.01
2303,聯電,35451589,14943,1977875226,55.9,56.0,55.3,56.0,0.0,55.90,299,56.00,"5,186",13.15,0.0
2305,全友,243847,226,5242224,21.6,21.95,21.3,21.5,-0.25,21.45,1,21.50,4,107.5,-0.01
2308,台達電,11486554,9721,4599195145,399.0,407.0,397.0,400.0,-2.5,399.50,9,400.00,132,30.51,-0.01
2312,金寶,40131195,15153,971061315,24.05,24.85,23.7,23.7,-0.4,23.70,663,23.75,7,27.88,-0.02
2313,華通,11335091,8628,842178387,75.2,75.4,73.4,73.7,-1.5,73.70,181,73.80,13,16.41,-0.02
2314,台揚,467442,323,12654467,27.2,27.35,26.8,27.1,0.05,27.05,5,27.10,42,0.0,0.0
2316,楠梓電,1298383,1321,63272130,49.45,49.45,48.25,48.75,-0.8,48.75,4,48.80,1,7.23,-0.02
2317,鴻海,73330894,59842,13472333866,185.0,186.0,181.5,183.5,-3.0,183.00,768,183.50,95,16.59,-0.02
2321,東訊,6219,12,96402,15.4,15.9,15.4,15.4,-0.05,15.15,5,15.45,1,0.0,-0.0
2323,中環,20207227,5777,276697532,13.65,13.85,13.55,13.55,-0.1,13.55,"1,134",13.60,61,18.07,-0.01
2324,仁寶,16031103,6772,525255155,32.6,32.9,32.5,32.75,0.25,32.70,47,32.75,75,15.9,0.01
2327,國巨,2812241,5448,1798161056,642.0,648.0,633.0,635.0,-11.0,634.00,50,635.00,2,13.53,-0.02
2328,廣宇,2031887,1347,71954072,35.65,35.7,35.25,35.3,-0.3,35.30,58,35.35,4,16.89,-0.01
2329,華泰,2407804,1750,102632466,42.95,43.35,42.2,42.55,-0.45,42.50,11,42.55,9,15.47,-0.01
2330,台積電,32606816,83432,31287150192,961.0,964.0,956.0,958.0,-15.0,958.00,168,959.00,73,26.91,-0.02
2331,精英,2966183,1884,76921465,26.4,26.5,25.55,25.65,-0.75,25.65,20,25.70,12,22.3,-0.03
2332,友訊,1111639,736,19936980,17.8,18.05,17.7,18.0,0.15,17.90,5,18.00,15,900.0,0.01
2337,旺宏,6555394,3220,181400360,28.0,28.0,27.5,27.55,-0.35,27.55,93,27.60,179,0.0,-0.01
2338,光罩,1197833,1090,75784751,63.1,64.1,63.0,63.2,-0.6,63.10,14,63.20,13,27.72,-0.01
2340,台亞,1634517,973,56716683,34.7,35.05,34.4,34.55,0.1,34.55,6,34.70,6,493.57,0.0
2342,茂矽,256716,183,7763584,30.25,30.45,30.05,30.15,-0.1,30.10,2,30.20,2,0.0,-0.0
2344,華邦電,24669010,11276,580900648,23.8,23.85,23.35,23.35,-0.4,23.35,683,23.40,135,129.72,-0.02
2345,智邦,1218494,1626,645476824,535.0,537.0,526.0,530.0,-3.0,529.00,2,530.00,5,31.27,-0.01
2347,聯強,2695263,1617,192667298,72.0,72.5,71.2,71.3,-0.1,71.30,5,71.40,28,15.07,-0.0
2348,海悅,3054492,5611,849819049,291.5,291.5,273.0,276.5,-15.0,276.50,10,277.00,5,14.95,-0.05
2348A,海悅甲特,17000,12,563050,33.1,33.25,33.1,33.25,0.2,33.10,2,33.30,3,0.0,0.01
2349,錸德,82354289,23048,1477134979,17.65,18.5,17.2,18.5,1.65,18.50,"66,393",--,0,0.0,0.1
2351,順德,10545958,8832,1424835036,140.0,140.5,130.5,135.5,-9.5,135.00,37,135.50,105,35.19,-0.07
2352,佳世達,3788881,2508,133384288,35.35,35.45,35.05,35.25,0.15,35.25,13,35.30,66,27.12,0.0
